ETF,MVO,Decision Tree,Decision Tree (Tuned),Random Forest,Random Forest (Tuned),Gradient boosting,Gradient boosting (Tuned)
VTI,0.238264,0.110559,0.105308,0.116099,0.104644,0.11356,0.106158
IUSV,0.000899,0.113732,0.107543,0.111792,0.106267,0.11221,0.107723
VBR,0.0,0.088411,0.101945,0.094517,0.100637,0.097785,0.100202
VEA,0.0,0.08519,0.096841,0.087563,0.098461,0.098611,0.098872
VWO,0.0,0.112611,0.097305,0.1056,0.097254,0.095191,0.09619
SHV,0.0,0.105559,0.099302,0.101387,0.100261,0.098397,0.097948
STIP,0.0,0.098472,0.105558,0.093326,0.104322,0.103374,0.102882
AGG,0.749658,0.105697,0.102997,0.106438,0.103141,0.110193,0.104682
IBND,0.0,0.089097,0.088492,0.093136,0.089788,0.091674,0.09032
EMB,0.011178,0.090672,0.094709,0.090141,0.095226,0.097615,0.095653
