ETF,MVO,Decision Tree,Decision Tree (Tuned),Random Forest,Random Forest (Tuned),Gradient boosting,Gradient boosting (Tuned)
VTI,0.227162,0.129909,0.105308,0.13349,0.105371,0.113774,0.106892
IUSV,0.0,0.07786,0.107543,0.081593,0.107563,0.126618,0.115478
VBR,0.0,0.072276,0.101945,0.075411,0.095672,0.094499,0.097178
VEA,0.0,0.114921,0.096841,0.1065,0.100526,0.103148,0.101057
VWO,0.0,0.095004,0.097305,0.098238,0.091181,0.10108,0.091371
SHV,0.0,0.130805,0.099302,0.112286,0.099978,0.098409,0.094249
STIP,0.0,0.091241,0.105558,0.096675,0.102435,0.101152,0.098725
AGG,0.772838,0.101323,0.102997,0.097509,0.105008,0.105995,0.104908
IBND,0.0,0.094522,0.088492,0.097051,0.094594,0.081068,0.092468
EMB,0.0,0.092139,0.094709,0.101247,0.097673,0.099664,0.097574
