Month,VTI,IUSV,VBR,VEA,VWO,SHV,STIP,AGG,IBND,EMB
2015-01,0.17170,0.02716,0.0,0.0,0.0,0.0,0.0,0.80114,0.0,0.0
2015-02,0.17701,0.00000,0.0,0.0,0.0,0.0,0.0,0.82299,0.0,0.0
2015-03,0.19694,0.00000,0.0,0.0,0.0,0.0,0.0,0.80306,0.0,0.0
2015-04,0.19763,0.00000,0.0,0.0,0.0,0.0,0.0,0.80237,0.0,0.0
2015-05,0.20451,0.00000,0.0,0.0,0.0,0.0,0.0,0.79549,0.0,0.0
...,...,...,...,...,...,...,...,...,...,...
2021-02,0.25625,0.00000,0.0,0.0,0.0,0.0,0.0,0.74375,0.0,0.0
2021-03,0.27881,0.00000,0.0,0.0,0.0,0.0,0.0,0.72119,0.0,0.0
2021-04,0.29907,0.00000,0.0,0.0,0.0,0.0,0.0,0.70093,0.0,0.0
2021-05,0.29911,0.00000,0.0,0.0,0.0,0.0,0.0,0.70089,0.0,0.0
2021-06,0.29968,0.00000,0.0,0.0,0.0,0.0,0.0,0.70032,0.0,0.0
